Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,AZE,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.429640172,0.464994673,0.593553265,0.900095469,0.754794353,0.725073538,0.809154987,0.941948401,1.05797922,0.925093067,0.902216707,0.77664076,1.164276536,1.350615595,1.443855294,1.519390085,1.309454613,1.21721512,1.036206477,1.081285678,1.673228927,1.197731788,0.765949563,0.660788427,0.572046302,,,,,
Burundi,BDI,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,BEL,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,0.064139613,0.068843019,0.058123406,0.087126236,0.0818037,0.079324214,0.093828556,0.147447689,0.106804319,0.068220054,0.090190691,0.029057327,0.042228614,0.075044755,0.131215823,4.214888743,5.783809109,6.938987604,6.90684896,6.106226237,7.044037419,7.773548934,9.910758664,15.40709434,16.99397754,20.50009147,22.52967407,23.51794301,23.84446611,22.58341884,23.3009151,22.3835273,22.46052454,22.18887683,20.28592281,20.28564035,20.17245712,22.06739839,21.1563807,22.36127692,21.73908334,21.01878872,22.33360419,21.45300543,21.34304457,21.54986473,21.31211547,22.39314979,20.62355769,22.38243076,21.24231601,23.24318163,20.74740746,21.42550251,18.58963102,15.1103274,,,,
Benin,BEN,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03906203,0.028684056,0.035996784,0.041207059,0.053763873,0.060110608,0.043801991,0.023233922,0.018941497,0,0,0,0,0,0,0,0,0,,,,,
Burkina Faso,BFA,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.264691336,0.256265085,0.448075727,0.318482306,0.557392007,0.593749751,0.513083899,0.574375913,0.640971028,0.596712523,0.626875305,0.496575541,0.613810521,0.8197784,0.638673203,0.363220976,0.423895697,0.503601728,0.653864195,0.363258586,0.338010409,0.349749395,0.280369089,0.37937566,0.155847833,0.311538198,0.294862428,0.338431106,0.318876466,0.278850126,0.344167907,0.257205672,0.247638309,0.243579516,0.237191874,0.225777321,0.219210328,0.250493778,0.105840143,0.173889205,0.199133295,0.16670181,0.21825725,0.153500382,,,,,
Bulgaria,BGR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0.980922266,0.928418936,1.077996631,1.96802609,3.77093631,6.382309718,7.062309532,6.585469627,6.709609362,6.784179015,9.489248532,10.37886653,11.61152213,11.85801645,11.79491335,10.82207855,11.30373528,14.04654714,13.23898363,14.01978974,16.39872094,15.34970323,17.11972359,19.2134779,20.10017337,21.31368504,22.97576637,22.85813234,23.34987274,26.25303197,26.78638309,28.54731679,24.13880084,24.21077108,25.76496544,26.11720917,20.02478143,21.81101382,24.21837782,24.30058627,23.53305445,24.53101713,24.78976411,25.82571194,,,,,
Bahrain,BHR,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
"Bahamas, The",BHS,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.60243763,3.315230186,3.872973724,4.674958107,16.8166698,17.17537699,14.30284541,8.251923603,7.408200392,7.681564251,5.663692096,6.322356734,6.471385341,5.630641697,6.211224668,6.281177275,5.546282645,4.2686398,4.72900686,5.212127312,6.434916306,3.727759493,4.273651273,6.040693622,4.273871359,,,,,
